order_id,product,region,quantity,revenue,month
ORD-02-001,Gadget Y,Central,14,1932.97,February
ORD-02-002,Gadget Y,Central,8,978.71,February
ORD-02-003,Widget A,West,2,1029.1,February
ORD-02-004,Service Pack,Central,20,337.52,February
ORD-02-005,Gadget Y,South,6,1945.72,February
ORD-02-006,Widget B,South,2,875.58,February
ORD-02-007,Gadget Y,South,5,1676.51,February
ORD-02-008,Gadget X,East,3,219.7,February
ORD-02-009,Service Pack,West,18,685.95,February
ORD-02-010,Gadget X,Central,15,1838.47,February
ORD-02-011,Widget A,Central,19,1069.0,February
ORD-02-012,Gadget Y,North,14,341.8,February
ORD-02-013,Service Pack,Central,19,1528.84,February
ORD-02-014,Widget A,North,19,1570.11,February
ORD-02-015,Gadget X,Central,12,1761.89,February
ORD-02-016,Gadget X,West,16,1165.45,February
ORD-02-017,Gadget Y,North,6,587.06,February
ORD-02-018,Widget B,Central,20,1377.59,February
ORD-02-019,Gadget Y,North,13,1784.67,February
ORD-02-020,Gadget X,South,2,1504.21,February
ORD-02-021,Gadget X,East,1,708.84,February
ORD-02-022,Gadget X,East,9,1693.55,February
ORD-02-023,Widget A,South,5,635.94,February
ORD-02-024,Gadget Y,East,9,1471.16,February
ORD-02-025,Service Pack,North,7,911.35,February
ORD-02-026,Gadget Y,West,17,1741.02,February
ORD-02-027,Widget A,Central,6,177.95,February
ORD-02-028,Service Pack,West,5,1572.01,February
ORD-02-029,Service Pack,Central,1,388.79,February
ORD-02-030,Widget B,North,8,114.49,February
ORD-02-031,Widget A,East,7,584.26,February
ORD-02-032,Gadget Y,Central,13,1289.05,February
ORD-02-033,Widget A,North,8,776.31,February
ORD-02-034,Service Pack,West,6,1923.01,February
ORD-02-035,Gadget Y,Central,18,732.03,February
ORD-02-036,Widget B,East,3,605.89,February
ORD-02-037,Gadget Y,North,6,1714.95,February
ORD-02-038,Widget B,South,8,1371.51,February
ORD-02-039,Gadget X,West,17,89.1,February
ORD-02-040,Widget A,West,5,1312.37,February
ORD-02-041,Service Pack,North,8,542.16,February
ORD-02-042,Gadget X,East,14,1796.19,February
ORD-02-043,Gadget X,West,9,475.51,February
ORD-02-044,Gadget X,Central,20,824.45,February
ORD-02-045,Widget A,North,17,1998.89,February
ORD-02-046,Gadget X,Central,20,1237.65,February
ORD-02-047,Gadget X,North,16,174.48,February
ORD-02-048,Gadget X,East,9,559.24,February
ORD-02-049,Gadget X,South,5,1058.72,February
ORD-02-050,Widget B,North,20,837.99,February
