order_id,product,region,quantity,revenue,month
ORD-01-001,Widget B,South,9,1090.69,January
ORD-01-002,Widget A,South,19,1700.68,January
ORD-01-003,Gadget Y,East,6,393.4,January
ORD-01-004,Service Pack,East,12,1832.26,January
ORD-01-005,Widget A,East,19,1149.03,January
ORD-01-006,Service Pack,South,16,1107.14,January
ORD-01-007,Widget B,West,2,226.0,January
ORD-01-008,Widget B,Central,8,88.86,January
ORD-01-009,Gadget Y,North,11,1839.9,January
ORD-01-010,Widget B,South,11,1448.03,January
ORD-01-011,Gadget X,North,1,338.04,January
ORD-01-012,Widget B,North,17,1728.31,January
ORD-01-013,Widget A,East,13,1192.73,January
ORD-01-014,Gadget X,East,11,316.08,January
ORD-01-015,Widget B,West,16,1315.9,January
ORD-01-016,Widget B,Central,20,1584.63,January
ORD-01-017,Widget B,Central,6,787.85,January
ORD-01-018,Gadget X,South,6,1471.22,January
ORD-01-019,Service Pack,West,19,113.15,January
ORD-01-020,Service Pack,East,20,480.75,January
ORD-01-021,Service Pack,North,16,324.25,January
ORD-01-022,Widget A,South,12,1965.64,January
ORD-01-023,Widget B,North,11,920.93,January
ORD-01-024,Gadget X,South,8,1401.69,January
ORD-01-025,Gadget X,East,4,1454.81,January
ORD-01-026,Widget A,West,15,1478.54,January
ORD-01-027,Widget B,West,16,1769.45,January
ORD-01-028,Gadget X,Central,13,247.79,January
ORD-01-029,Gadget Y,Central,8,367.18,January
ORD-01-030,Widget A,North,10,89.15,January
ORD-01-031,Gadget X,North,3,716.53,January
ORD-01-032,Gadget Y,South,3,1116.74,January
ORD-01-033,Widget A,East,20,1971.29,January
ORD-01-034,Gadget Y,North,14,1887.76,January
ORD-01-035,Widget B,Central,14,356.35,January
ORD-01-036,Widget A,East,7,1950.08,January
ORD-01-037,Gadget Y,Central,18,567.27,January
ORD-01-038,Gadget X,East,8,237.04,January
ORD-01-039,Gadget Y,Central,18,1687.72,January
ORD-01-040,Widget B,North,12,57.44,January
ORD-01-041,Widget A,East,20,986.64,January
ORD-01-042,Widget A,North,7,383.12,January
ORD-01-043,Gadget X,North,16,1695.35,January
ORD-01-044,Gadget X,West,16,1003.74,January
ORD-01-045,Gadget X,North,18,805.68,January
ORD-01-046,Gadget X,West,12,413.84,January
ORD-01-047,Widget A,East,15,956.86,January
ORD-01-048,Widget B,East,19,170.2,January
ORD-01-049,Widget A,North,12,1625.95,January
ORD-01-050,Gadget Y,Central,8,1129.52,January
